IEEE Trans. Neural Networks, 61
International Conference on Information Systems, 61
KI, 61
Mach. Vis. Appl., 61
UbiComp, 61
IEEE International Conference on Distributed Computing Systems, 60
IJCAI, 60
International Conference on Intelligent Information Hiding and Multimedia Signal Processing, 60
RFC, 60
SIGKDD Explorations, 60
The Journal of Supercomputing, 60
Computational Aesthetics, 59
Decision Support Systems, 59
Extended Abstracts of the CHI Conference on Human Factors in Computing Systems, 59
IEEE International Conference on Tools with Artificial Intelligence, 59
Neural Computing and Applications, 59
Security and Communication Networks, 59
ACM Conference on Computer Supported Cooperative Work and Social Computing, 58
EURASIP J. Wireless Comm. and Networking, 58
Graph Drawing and Network Visualization, 58
IEEE Workshop on Applications of Computer Vision, 58
IET Communications, 58
International Conference on Weblogs and Social Media, 58
J. Franklin Institute, 58
Artificial Intelligence in Medicine, 57
Comput. J., 57
IEEE Conference on Computer Vision and Pattern Recognition Workshops, 57
IEEE/CIC International Conference on Communications in China, 57
INFOCOM . IEEE International Conference on Computer Communications, 57
Industrial Engineering, 57
Quantum Information Processing, 57
Scientific and Statistical Database Management, 57
ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, 56
ACM Trans. Math. Softw., 56
Advances in Swarm Intelligence, 56
Comp. Math. Methods in Medicine, 56
Computing, 56
IEEE International Conference on Automatic Face and Gesture Recognition, 56
International Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia, 56
International Conference on Information Fusion, 56
Microelectronics Reliability, 56
Nordic Conference on Human-Computer Interaction, 56
ACM International Conference on Interactive Tabletops and Surfaces, 55
Eng. Comput., 55
IBM Systems Journal, 55
IEEE, 55
IEEE Trans. Mob. Comput., 55
IJPRAI, 55
IT, 55
International Symposium on 3D Data Processing, 55
International Symposium on Non-Photorealistic Animation and Rendering, 55
J. ACM, 55
SIAM Conference on Parallel Processing for Scientific Computing, 55
Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems, 54
Computers in Human Behavior, 54
Design Automation Conference, 54
Euro-Par, 54
Global Telecommunications Conference, 54
Human-Computer Interaction INTERACT: IFIP TC International Conference on Human-Computer Interaction, 54
International Conference on Wireless Communications & Signal Processing, 54
International Conference on the Foundations of Digital Games, 54
International Symposium on Computational Geometry, 54
Journal of Computational Biology, 54
The Semantic Web, 54
